epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1118.33,2.0571,2.2759,2.12785,0.43751,0.42,0.37447,0.13391,2.2873,2.24726,2.45024,0.0006656,0.0006656,0.0006656
2,2365.41,2.01385,1.93446,2.09288,0.61526,0.43,0.50952,0.19217,2.15042,1.93875,2.23579,0.00120037,0.00120037,0.00120037
3,3690.72,1.95323,1.833,2.04625,0.48243,0.462,0.39321,0.14757,2.26718,2.0935,2.38017,0.00160314,0.00160314,0.00160314
4,5001.76,1.91627,1.72705,2.00857,0.51801,0.622,0.57622,0.23199,2.04619,1.67099,2.1804,0.001406,0.001406,0.001406
5,6241.71,1.86416,1.64559,1.94896,0.57553,0.5993,0.61782,0.24628,2.02584,1.56604,2.16564,0.001208,0.001208,0.001208
6,7481.76,1.84171,1.57549,1.93865,0.5969,0.614,0.57584,0.22552,2.03616,1.61263,2.16777,0.00101,0.00101,0.00101
7,8792.43,1.81201,1.52306,1.91599,0.61233,0.67919,0.69299,0.28377,2.01039,1.4706,2.10822,0.000812,0.000812,0.000812
8,10111.5,1.77917,1.46313,1.88943,0.63002,0.692,0.69285,0.28447,2.00266,1.38761,2.18084,0.000614,0.000614,0.000614
9,11423.7,1.75137,1.40897,1.863,0.64226,0.712,0.72477,0.29723,2.0127,1.33251,2.15273,0.000416,0.000416,0.000416
10,12668.1,1.72167,1.37049,1.83873,0.6747,0.66,0.72647,0.2998,2.00392,1.31462,2.12651,0.000218,0.000218,0.000218
